No.	Category	Korean	English
1	하나님·삼위일체	하나님	God
2	하나님·삼위일체	주님	Lord
3	하나님·삼위일체	예수님	Jesus
4	하나님·삼위일체	예수 그리스도	Jesus Christ
5	하나님·삼위일체	그리스도	Christ
6	하나님·삼위일체	메시아	Messiah
7	하나님·삼위일체	구세주	Savior
8	하나님·삼위일체	구속자	Redeemer
9	하나님·삼위일체	왕	King
10	하나님·삼위일체	왕 중의 왕	King of Kings
11	하나님·삼위일체	주님의 주	Lord of Lords
12	하나님·삼위일체	전능하신 하나님	Almighty God
13	하나님·삼위일체	살아계신 하나님	The Living God
14	하나님·삼위일체	창조주	Creator
15	하나님·삼위일체	아버지 하나님	God the Father
16	하나님·삼위일체	성부	God the Father
17	하나님·삼위일체	성자	God the Son
18	하나님·삼위일체	성령	Holy Spirit
19	하나님·삼위일체	삼위일체	Trinity
20	하나님·삼위일체	하나님의 아들	Son of God
21	하나님·삼위일체	인자	Son of Man
22	하나님·삼위일체	보혜사	Helper (Advocate)
23	하나님·삼위일체	주권	Sovereignty
24	하나님·삼위일체	주권자	Sovereign Lord
25	하나님·삼위일체	영광	Glory
26	하나님·삼위일체	영광스러운	Glorious
27	하나님·삼위일체	거룩	Holiness
28	하나님·삼위일체	거룩한	Holy
29	하나님·삼위일체	영원하신	Eternal
30	하나님·삼위일체	신실하신	Faithful
31	하나님·삼위일체	의로우신	Righteous
32	하나님·삼위일체	전지하신	Omniscient
33	하나님·삼위일체	전능하신	Omnipotent
34	하나님·삼위일체	무소부재하신	Omnipresent
35	하나님·삼위일체	선하신	Good
36	하나님·삼위일체	사랑이신 하나님	God is love
37	하나님·삼위일체	공의	Justice
38	하나님·삼위일체	공의로우신	Just
39	하나님·삼위일체	긍휼	Mercy
40	하나님·삼위일체	자비	Compassion
41	하나님·삼위일체	은혜	Grace
42	하나님·삼위일체	인내	Patience
43	하나님·삼위일체	오래 참으심	Longsuffering
44	하나님·삼위일체	진리	Truth
45	하나님·삼위일체	빛	Light
46	하나님·삼위일체	생명	Life
47	하나님·삼위일체	평강	Peace
48	하나님·삼위일체	기쁨	Joy
49	하나님·삼위일체	소망	Hope
50	하나님·삼위일체	사랑	Love
51	구원론	구원	Salvation
52	구원론	구원받다	Be saved
53	구원론	복음	Gospel
54	구원론	복음을 전하다	Share the Gospel / Preach the Gospel
55	구원론	믿음	Faith
56	구원론	믿다	Believe
57	구원론	신뢰	Trust
58	구원론	신뢰하다	Trust in
59	구원론	은혜	Grace
60	구원론	은혜로	By grace
61	구원론	죄	Sin
62	구원론	죄인	Sinner
63	구원론	죄를 짓다	Commit sin
64	구원론	죄를 고백하다	Confess one's sins
65	구원론	회개	Repentance
66	구원론	회개하다	Repent
67	구원론	용서	Forgiveness
68	구원론	용서하다	Forgive
69	구원론	용서받다	Be forgiven
70	구원론	속죄	Atonement
71	구원론	대속	Redemption
72	구원론	구속	Redemption
73	구원론	구속하다	Redeem
74	구원론	십자가	The Cross
75	구원론	십자가에 못 박히다	Be crucified
76	구원론	십자가를 지다	Take up one's cross
77	구원론	부활	Resurrection
78	구원론	부활하시다	Rise again
79	구원론	죽음	Death
80	구원론	생명	Life
81	구원론	영생	Eternal life
82	구원론	영원한 생명	Everlasting life
83	구원론	심판	Judgment
84	구원론	심판하다	Judge
85	구원론	의	Righteousness
86	구원론	의롭다	Righteous
87	구원론	칭의	Justification
88	구원론	성화	Sanctification
89	구원론	영화(구원의 완성)	Glorification
90	구원론	거듭남	New birth / Regeneration
91	구원론	중생	Regeneration
92	구원론	새로운 피조물	New creation
93	구원론	언약	Covenant
94	구원론	새 언약	New Covenant
95	구원론	약속	Promise
96	구원론	믿음으로 의롭게 되다	Be justified by faith
97	구원론	하나님의 어린양	Lamb of God
98	구원론	보혈	The blood of Christ
99	구원론	속량	Ransom / Redemption
100	구원론	화목	Reconciliation
101	성경	성경	Bible
102	성경	하나님의 말씀	Word of God
103	성경	말씀	Scripture / The Word
104	성경	본문	Scripture passage
105	성경	본문 말씀	Today's Scripture
106	성경	구절	Verse
107	성경	장	Chapter
108	성경	절	Verse
109	성경	성경책	Book of the Bible
110	성경	구약성경	Old Testament
111	성경	신약성경	New Testament
112	성경	창세기	Genesis
113	성경	출애굽기	Exodus
114	성경	레위기	Leviticus
115	성경	민수기	Numbers
116	성경	신명기	Deuteronomy
117	성경	시편	Psalms
118	성경	잠언	Proverbs
119	성경	전도서	Ecclesiastes
120	성경	이사야	Isaiah
121	성경	예레미야	Jeremiah
122	성경	에스겔	Ezekiel
123	성경	다니엘	Daniel
124	성경	마태복음	Matthew
125	성경	마가복음	Mark
126	성경	누가복음	Luke
127	성경	요한복음	John
128	성경	사도행전	Acts
129	성경	로마서	Romans
130	성경	고린도전서	1 Corinthians
131	성경	고린도후서	2 Corinthians
132	성경	갈라디아서	Galatians
133	성경	에베소서	Ephesians
134	성경	빌립보서	Philippians
135	성경	골로새서	Colossians
136	성경	히브리서	Hebrews
137	성경	야고보서	James
138	성경	베드로전서	1 Peter
139	성경	요한일서	1 John
140	성경	요한계시록	Revelation
141	성경	예언	Prophecy
142	성경	예언자	Prophet
143	성경	사도	Apostle
144	성경	제자	Disciple
145	성경	복음서	Gospel
146	성경	비유	Parable
147	성경	계명	Commandment
148	성경	율법	Law
149	성경	지혜	Wisdom
150	성경	계시	Revelation
151	교회와 공동체	교회	Church
152	교회와 공동체	성도	Believer / Saint
153	교회와 공동체	신자	Believer
154	교회와 공동체	그리스도인	Christian
155	교회와 공동체	공동체	Community
156	교회와 공동체	청년부	Young Adult Ministry
157	교회와 공동체	청년	Young Adult
158	교회와 공동체	목사	Pastor
159	교회와 공동체	담임목사	Senior Pastor
160	교회와 공동체	전도사	Associate Pastor / Ministry Intern*
161	교회와 공동체	장로	Elder
162	교회와 공동체	권사	Senior Deaconess
163	교회와 공동체	안수집사	Ordained Deacon
164	교회와 공동체	집사	Deacon / Deaconess
165	교회와 공동체	리더	Leader
166	교회와 공동체	셀리더	Small Group Leader
167	교회와 공동체	소그룹	Small Group
168	교회와 공동체	순모임	Life Group / Cell Group
169	교회와 공동체	교제	Fellowship
170	교회와 공동체	친교	Fellowship
171	교회와 공동체	섬김	Service
172	교회와 공동체	섬기다	Serve
173	교회와 공동체	사역	Ministry
174	교회와 공동체	사역자	Minister / Ministry Leader
175	교회와 공동체	선교	Mission
176	교회와 공동체	선교사	Missionary
177	교회와 공동체	전도	Evangelism
178	교회와 공동체	전도하다	Evangelize / Share the Gospel
179	교회와 공동체	제자훈련	Discipleship Training
180	교회와 공동체	제자도	Discipleship
181	교회와 공동체	양육	Spiritual Nurture
182	교회와 공동체	봉사	Volunteer Service
183	교회와 공동체	헌신	Dedication
184	교회와 공동체	헌신하다	Dedicate oneself
185	교회와 공동체	사명	Calling / Mission
186	교회와 공동체	소명	Calling
187	교회와 공동체	은사	Spiritual Gift
188	교회와 공동체	달란트	Talent
189	교회와 공동체	은혜 나눔	Sharing Testimonies of Grace
190	교회와 공동체	간증	Testimony
191	교회와 공동체	새가족	Newcomer
192	교회와 공동체	등록교인	Registered Member
193	교회와 공동체	출석하다	Attend
194	교회와 공동체	출석 교인	Attendee
195	교회와 공동체	부흥	Revival
196	교회와 공동체	부흥회	Revival Meeting
197	교회와 공동체	수련회	Retreat
198	교회와 공동체	성경공부	Bible Study
199	교회와 공동체	양육 과정	Discipleship Course
200	교회와 공동체	파송	Commissioning
201	예배와 기도	예배	Worship
202	예배와 기도	예배드리다	Worship
203	예배와 기도	주일예배	Sunday Worship Service
204	예배와 기도	새벽예배	Early Morning Prayer Service
205	예배와 기도	수요예배	Wednesday Worship Service
206	예배와 기도	금요기도회	Friday Prayer Meeting
207	예배와 기도	찬양	Praise
208	예배와 기도	찬양하다	Praise
209	예배와 기도	경배	Adoration / Worship
210	예배와 기도	경배하다	Worship / Adore
211	예배와 기도	찬송	Hymn
212	예배와 기도	찬송가	Hymnal / Hymn
213	예배와 기도	찬양팀	Praise Team
214	예배와 기도	인도자	Worship Leader
215	예배와 기도	예배 인도	Leading Worship
216	예배와 기도	기도	Prayer
217	예배와 기도	기도하다	Pray
218	예배와 기도	기도회	Prayer Meeting
219	예배와 기도	중보기도	Intercessory Prayer
220	예배와 기도	중보하다	Intercede
221	예배와 기도	기도 제목	Prayer Request
222	예배와 기도	응답받은 기도	Answered Prayer
223	예배와 기도	감사기도	Prayer of Thanksgiving
224	예배와 기도	회개의 기도	Prayer of Repentance
225	예배와 기도	축도	Benediction
226	예배와 기도	축복기도	Prayer of Blessing
227	예배와 기도	대표기도	Pastoral Prayer / Representative Prayer
228	예배와 기도	묵상기도	Meditative Prayer
229	예배와 기도	금식기도	Fasting Prayer
230	예배와 기도	금식	Fasting
231	예배와 기도	감사	Thanksgiving
232	예배와 기도	감사하다	Give Thanks
233	예배와 기도	감사드리다	Give Thanks to God
234	예배와 기도	헌금	Offering
235	예배와 기도	십일조	Tithe
236	예배와 기도	감사헌금	Thanksgiving Offering
237	예배와 기도	헌신예배	Dedication Service
238	예배와 기도	축복	Blessing
239	예배와 기도	축복하다	Bless
240	예배와 기도	아멘	Amen
241	예배와 기도	영광	Glory
242	예배와 기도	영광 돌리다	Give Glory to God
243	예배와 기도	임재	Presence
244	예배와 기도	하나님의 임재	God's Presence
245	예배와 기도	성령의 임재	The Presence of the Holy Spirit
246	예배와 기도	은혜를 받다	Receive Grace
247	예배와 기도	은혜 충만	Full of Grace
248	예배와 기도	평안	Peace
249	예배와 기도	기쁨	Joy
250	예배와 기도	감격	Deep Gratitude / Joyful Awe
251	신앙생활과 제자도	신앙생활	Christian Life
252	신앙생활과 제자도	제자	Disciple
253	신앙생활과 제자도	제자도	Discipleship
254	신앙생활과 제자도	예수님을 따르다	Follow Jesus
255	신앙생활과 제자도	순종	Obedience
256	신앙생활과 제자도	순종하다	Obey
257	신앙생활과 제자도	불순종	Disobedience
258	신앙생활과 제자도	충성	Faithfulness
259	신앙생활과 제자도	충성하다	Be Faithful
260	신앙생활과 제자도	헌신	Commitment / Dedication
261	신앙생활과 제자도	헌신하다	Commit Oneself
262	신앙생활과 제자도	희생	Sacrifice
263	신앙생활과 제자도	희생하다	Sacrifice
264	신앙생활과 제자도	섬김	Service
265	신앙생활과 제자도	섬기다	Serve
266	신앙생활과 제자도	겸손	Humility
267	신앙생활과 제자도	겸손하다	Be Humble
268	신앙생활과 제자도	온유	Gentleness
269	신앙생활과 제자도	인내	Perseverance
270	신앙생활과 제자도	오래 참음	Patience / Longsuffering
271	신앙생활과 제자도	절제	Self-control
272	신앙생활과 제자도	거룩한 삶	Holy Life
273	신앙생활과 제자도	경건	Godliness
274	신앙생활과 제자도	경건한 삶	Godly Life
275	신앙생활과 제자도	의로운 삶	Righteous Life
276	신앙생활과 제자도	성숙	Spiritual Maturity
277	신앙생활과 제자도	성장	Spiritual Growth
278	신앙생활과 제자도	변화	Transformation
279	신앙생활과 제자도	새사람	New Self
280	신앙생활과 제자도	옛사람	Old Self
281	신앙생활과 제자도	성령의 열매	Fruit of the Spirit
282	신앙생활과 제자도	사랑	Love
283	신앙생활과 제자도	희락	Joy
284	신앙생활과 제자도	화평	Peace
285	신앙생활과 제자도	오래 참음	Patience
286	신앙생활과 제자도	자비	Kindness
287	신앙생활과 제자도	양선	Goodness
288	신앙생활과 제자도	충성	Faithfulness
289	신앙생활과 제자도	온유	Gentleness
290	신앙생활과 제자도	절제	Self-control
291	신앙생활과 제자도	시험	Temptation
292	신앙생활과 제자도	유혹	Temptation
293	신앙생활과 제자도	시험을 이기다	Overcome Temptation
294	신앙생활과 제자도	영적 싸움	Spiritual Battle
295	신앙생활과 제자도	영적 성장	Spiritual Growth
296	신앙생활과 제자도	믿음의 여정	Journey of Faith
297	신앙생활과 제자도	십자가의 삶	Life of the Cross
298	신앙생활과 제자도	성도의 삶	Life of a Believer
299	신앙생활과 제자도	본이 되다	Be an Example
300	신앙생활과 제자도	끝까지 견디다	Persevere to the End
301	영적 전쟁과 성령의 역사	영적 전쟁	Spiritual Warfare
302	영적 전쟁과 성령의 역사	영적 싸움	Spiritual Battle
303	영적 전쟁과 성령의 역사	성령의 역사	The Work of the Holy Spirit
304	영적 전쟁과 성령의 역사	성령의 인도	The Leading of the Holy Spirit
305	영적 전쟁과 성령의 역사	성령의 충만	The Fullness of the Holy Spirit
306	영적 전쟁과 성령의 역사	성령 충만하다	Be Filled with the Holy Spirit
307	영적 전쟁과 성령의 역사	성령의 능력	The Power of the Holy Spirit
308	영적 전쟁과 성령의 역사	성령의 음성	The Voice of the Holy Spirit
309	영적 전쟁과 성령의 역사	성령의 감동	The Prompting of the Holy Spirit
310	영적 전쟁과 성령의 역사	성령의 열매	Fruit of the Spirit
311	영적 전쟁과 성령의 역사	성령의 은사	Spiritual Gifts
312	영적 전쟁과 성령의 역사	은사	Spiritual Gift
313	영적 전쟁과 성령의 역사	분별	Discernment
314	영적 전쟁과 성령의 역사	영적 분별력	Spiritual Discernment
315	영적 전쟁과 성령의 역사	지혜	Wisdom
316	영적 전쟁과 성령의 역사	계시	Revelation
317	영적 전쟁과 성령의 역사	깨달음	Understanding
318	영적 전쟁과 성령의 역사	확신	Assurance
319	영적 전쟁과 성령의 역사	담대함	Boldness
320	영적 전쟁과 성령의 역사	담대하게	Boldly
321	영적 전쟁과 성령의 역사	시험	Trial
322	영적 전쟁과 성령의 역사	유혹	Temptation
323	영적 전쟁과 성령의 역사	시험에 들다	Fall into Temptation
324	영적 전쟁과 성령의 역사	시험을 이기다	Overcome Temptation
325	영적 전쟁과 성령의 역사	고난	Suffering
326	영적 전쟁과 성령의 역사	환난	Tribulation
327	영적 전쟁과 성령의 역사	핍박	Persecution
328	영적 전쟁과 성령의 역사	연단	Refinement
329	영적 전쟁과 성령의 역사	연단받다	Be Refined
330	영적 전쟁과 성령의 역사	사탄	Satan
331	영적 전쟁과 성령의 역사	마귀	The Devil
332	영적 전쟁과 성령의 역사	악한 영	Evil Spirit
333	영적 전쟁과 성령의 역사	악	Evil
334	영적 전쟁과 성령의 역사	죄의 유혹	The Temptation of Sin
335	영적 전쟁과 성령의 역사	거짓	Falsehood
336	영적 전쟁과 성령의 역사	거짓말	Lie
337	영적 전쟁과 성령의 역사	속이다	Deceive
338	영적 전쟁과 성령의 역사	미혹	Deception
339	영적 전쟁과 성령의 역사	믿음의 방패	Shield of Faith
340	영적 전쟁과 성령의 역사	구원의 투구	Helmet of Salvation
341	영적 전쟁과 성령의 역사	진리의 허리띠	Belt of Truth
342	영적 전쟁과 성령의 역사	의의 흉배	Breastplate of Righteousness
343	영적 전쟁과 성령의 역사	평안의 복음의 신	Shoes of the Gospel of Peace
344	영적 전쟁과 성령의 역사	성령의 검	Sword of the Spirit
345	영적 전쟁과 성령의 역사	하나님의 전신갑주	Full Armor of God
346	영적 전쟁과 성령의 역사	기도로 무장하다	Be Equipped with Prayer
347	영적 전쟁과 성령의 역사	깨어 있다	Stay Alert
348	영적 전쟁과 성령의 역사	깨어 기도하다	Watch and Pray
349	영적 전쟁과 성령의 역사	승리	Victory
350	영적 전쟁과 성령의 역사	승리하다	Overcome / Be Victorious
351	전도와 선교	전도	Evangelism
352	전도와 선교	전도하다	Share the Gospel / Evangelize
353	전도와 선교	복음을 전하다	Preach the Gospel / Share the Gospel
354	전도와 선교	복음 전도자	Evangelist
355	전도와 선교	선교	Missions
356	전도와 선교	선교사	Missionary
357	전도와 선교	단기선교	Short-term Mission Trip
358	전도와 선교	해외선교	Overseas Missions
359	전도와 선교	국내선교	Local Missions
360	전도와 선교	파송	Commissioning
361	전도와 선교	파송하다	Commission / Send Out
362	전도와 선교	사명	Mission
363	전도와 선교	소명	Calling
364	전도와 선교	증인	Witness
365	전도와 선교	증언하다	Testify
366	전도와 선교	간증	Testimony
367	전도와 선교	간증하다	Share One's Testimony
368	전도와 선교	복음의 능력	The Power of the Gospel
369	전도와 선교	복음의 메시지	The Message of the Gospel
370	전도와 선교	복음 사역	Gospel Ministry
371	전도와 선교	하나님 나라	Kingdom of God
372	전도와 선교	하나님 나라를 세우다	Advance the Kingdom of God
373	전도와 선교	열방	The Nations
374	전도와 선교	민족	People Group / Nation
375	전도와 선교	추수	Harvest
376	전도와 선교	추수할 일꾼	Workers for the Harvest
377	전도와 선교	제자를 삼다	Make Disciples
378	전도와 선교	세례	Baptism
379	전도와 선교	세례를 받다	Be Baptized
380	전도와 선교	침례	Baptism (침례교 문맥)
381	전도와 선교	회심	Conversion
382	전도와 선교	새신자	New Believer
383	전도와 선교	영접	Receiving Christ
384	전도와 선교	영접하다	Receive Christ
385	전도와 선교	초청	Invitation
386	전도와 선교	초청하다	Invite
387	전도와 선교	복음집회	Evangelistic Meeting
388	전도와 선교	선교지	Mission Field
389	전도와 선교	선교팀	Mission Team
390	전도와 선교	복음화	Evangelization
391	전도와 선교	중보선교	Intercessory Missions
392	전도와 선교	문화선교	Cultural Missions
393	전도와 선교	캠퍼스 선교	Campus Ministry
394	전도와 선교	교회 개척	Church Planting
395	전도와 선교	개척교회	Church Plant
396	전도와 선교	미전도종족	Unreached People Group
397	전도와 선교	선교 헌금	Mission Offering
398	전도와 선교	선교 비전	Mission Vision
399	전도와 선교	복음의 증인	Witness of the Gospel
400	전도와 선교	지상명령	The Great Commission
401	설교 표현	설교	Sermon
402	설교 표현	말씀을 전하다	Preach the Word
403	설교 표현	설교하다	Preach
404	설교 표현	본문	Scripture Passage
405	설교 표현	오늘 본문	Today's Scripture
406	설교 표현	말씀을 나누다	Share the Word
407	설교 표현	주제	Theme
408	설교 표현	핵심	Key Point
409	설교 표현	적용	Application
410	설교 표현	적용하다	Apply
411	설교 표현	교훈	Lesson
412	설교 표현	깨달음	Insight
413	설교 표현	예화	Illustration
414	설교 표현	비유	Parable
415	설교 표현	예시	Example
